,nervous_calm_1,depressed_cheerful_1,angry_gentle_1,changeability_1,controlability_1,valence_1,familiarity_1,allo_problem_1,auto_problem_1,emotion_focused_ef_1,self_esteem_ef_1,act_suppressed_info_1,act_search_info_1,act_reevaluation_1,act_palliation_1,act_blame_other_1,act_blame_self_1,env_passive_1,env_evasive_1,env_active_1,nervous_calm_2,depressed_cheerful_2,angry_gentle_2,changeability_2,controlability_2,valence_2,allo_problem_2,auto_problem_2,emotion_focused_ef_2,self_esteem_ef_2,act_suppressed_info_2,act_search_info_2,act_reevaluation_2,act_palliation_2,act_blame_other_2,act_blame_self_2,env_passive_2,env_evasive_2,env_active_2,nervous_calm_3,depressed_cheerful_3,angry_gentle_3,valence_3,self_attribute_3,others_attribute_3,circumstances_attribute_3,act_suppressed_info3_3,act_search_info3_3,act_reevaluation_3,act_palliation_3
0,1,2,3,1,4,5,3,3,2,3,2,2,4,3,3,2,4,2,1,3,1,2,3,0,4,5,3,2,3,2,2,3,2,3,2,4,2,1,3,1,2,3,3,2,1,1,2,4,3,3
1,2,1,4,1,4,4,3,3,2,3,3,2,3,2,3,1,0,1,4,3,2,2,4,1,4,2,3,2,3,3,2,3,2,3,2,2,1,4,3,2,2,3,3,1,1,2,3,3,2,2
2,1,2,2,1,4,4,3,3,2,3,3,2,4,3,3,2,3,2,1,3,1,2,2,1,4,4,3,2,3,2,2,3,2,3,2,3,2,1,3,2,2,3,3,2,1,1,2,4,3,3
3,1,2,3,0,4,5,2,3,2,3,2,2,4,3,3,2,3,4,4,3,1,2,3,0,1,5,3,2,3,2,2,4,3,3,2,3,1,4,3,2,2,4,3,2,0,1,3,2,3,2
4,0,2,2,0,4,5,3,3,2,3,2,1,4,2,3,2,3,0,4,3,0,1,2,0,1,5,3,2,3,2,1,4,2,3,2,3,0,4,3,1,2,3,4,2,0,1,1,4,2,3
5,1,2,2,1,4,4,3,2,3,3,3,2,3,3,3,2,3,2,3,2,0,0,2,1,4,5,2,3,3,3,2,3,4,3,2,3,2,3,2,1,2,2,5,1,2,1,3,3,4,3
6,1,2,3,1,4,4,2,3,2,3,3,2,3,2,3,2,1,2,3,4,1,2,3,1,4,4,3,2,3,3,2,3,2,3,3,1,2,3,3,1,2,3,5,1,0,2,2,3,2,3
7,1,2,2,1,3,4,1,2,3,3,2,2,4,3,3,2,3,2,3,3,1,2,2,1,4,5,3,2,3,2,2,4,3,3,2,3,2,3,3,1,2,3,3,1,2,1,2,3,3,3
8,1,2,2,1,2,4,3,2,3,3,2,2,3,2,3,2,1,1,1,3,1,2,2,0,2,5,2,3,3,2,1,4,2,3,3,1,1,1,3,1,2,2,5,1,2,2,1,3,2,3
9,2,3,4,2,4,3,4,2,3,3,2,2,3,2,3,2,1,2,1,3,2,3,4,2,4,1,2,3,3,2,2,3,3,2,2,1,2,1,3,2,3,4,2,1,1,2,2,3,3,3
10,1,2,2,1,3,4,2,2,2,3,3,2,4,3,3,2,3,1,3,3,2,2,2,0,1,4,3,2,3,3,2,4,3,3,2,3,2,3,4,3,4,4,1,2,1,1,2,3,3,3
11,1,2,2,1,4,4,3,3,2,3,2,2,3,2,3,2,3,2,1,3,1,2,2,1,4,4,3,2,3,2,2,3,2,3,2,3,2,1,3,1,2,2,3,1,2,1,2,3,2,3
12,0,2,3,0,5,4,2,3,2,3,2,1,4,2,3,3,4,0,4,3,0,2,2,0,5,5,3,2,3,2,1,4,2,3,3,4,0,4,3,0,1,2,3,3,0,2,2,4,3,3
13,2,2,2,1,3,4,4,2,3,3,2,2,3,3,3,3,2,2,1,3,2,2,2,1,4,4,2,3,3,3,2,4,3,3,3,1,2,1,3,2,3,4,3,2,1,1,2,3,3,3
14,1,2,2,1,2,4,0,3,2,3,3,1,4,2,3,3,1,1,4,3,1,1,2,1,2,4,3,2,3,2,1,4,2,3,3,1,2,4,3,0,1,2,5,1,2,2,2,3,2,3
15,2,3,4,1,4,2,3,2,3,3,2,2,4,3,3,1,2,1,0,4,2,3,4,2,4,3,3,2,3,2,2,3,2,3,2,1,2,1,3,2,3,4,3,1,2,1,2,3,2,3
16,2,1,3,1,1,4,2,3,2,3,2,2,4,3,3,1,0,2,3,3,2,1,3,1,1,4,3,2,3,2,2,4,3,3,2,1,2,3,4,2,2,3,3,1,2,2,2,3,3,3
17,3,2,4,2,4,1,3,3,2,3,2,1,4,2,3,1,0,1,3,3,2,2,4,1,4,2,3,2,3,2,1,3,2,3,2,1,2,3,3,3,2,4,1,1,1,2,2,3,3,2
