,nervous_calm_1,depressed_cheerful_1,angry_gentle_1,changeability_1,controlability_1,valence_1,familiarity_1,allo_problem_1,auto_problem_1,emotion_focused_ef_1,self_esteem_ef_1,act_suppressed_info_1,act_search_info_1,act_reevaluation_1,act_palliation_1,act_blame_other_1,act_blame_self_1,env_passive_1,env_evasive_1,env_active_1,nervous_calm_2,depressed_cheerful_2,angry_gentle_2,changeability_2,controlability_2,valence_2,allo_problem_2,auto_problem_2,emotion_focused_ef_2,self_esteem_ef_2,act_suppressed_info_2,act_search_info_2,act_reevaluation_2,act_palliation_2,act_blame_other_2,act_blame_self_2,env_passive_2,env_evasive_2,env_active_2,nervous_calm_3,depressed_cheerful_3,angry_gentle_3,valence_3,self_attribute_3,others_attribute_3,circumstances_attribute_3,act_suppressed_info3_3,act_search_info3_3,act_reevaluation_3,act_palliation_3
0,2,0,2,0,0,5,3,2,2,2,2,3,3,3,2,2,3,3,3,2,1,0,2,0,0,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,3,2,2
1,2,0,3,0,0,3,3,2,2,2,2,3,3,2,2,2,3,2,2,3,2,0,3,0,0,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,3,3,2,2,2,2,2,2,2
2,2,0,2,0,0,5,3,2,2,2,3,4,3,2,2,2,4,4,4,2,1,0,2,0,0,5,2,2,2,2,4,2,2,2,2,3,3,4,2,2,2,3,3,2,1,2,2,3,2,2
3,2,0,3,0,0,3,3,3,2,2,2,3,3,3,2,2,3,3,2,2,2,0,2,0,0,5,3,3,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,2,2,3,2,2,2
4,1,0,2,0,0,5,3,3,2,2,3,3,4,3,2,2,3,3,3,2,1,0,2,0,0,5,2,2,2,3,3,4,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,3,2,2
5,0,0,2,0,0,5,3,2,2,2,2,3,2,2,2,2,4,3,4,2,0,0,2,0,0,5,2,2,2,3,3,2,2,2,2,3,3,4,2,0,0,2,5,2,2,2,3,2,2,2
6,1,0,2,0,0,3,3,2,2,2,3,3,3,2,2,2,2,3,3,2,2,0,2,0,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,0,2,3,2,2,2,2,2,2,2
7,2,0,2,0,0,5,2,2,2,3,2,3,3,2,2,2,3,3,3,2,0,2,2,0,2,5,2,2,3,2,3,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,3,3,2,2
8,2,1,2,0,0,3,3,2,2,2,2,3,3,3,2,2,3,3,3,2,0,0,2,0,0,5,2,2,2,2,2,3,2,2,2,3,2,3,2,2,0,2,5,2,2,2,2,2,2,2
9,1,0,2,0,0,4,2,2,2,2,2,3,2,2,2,2,3,3,3,2,1,1,3,0,0,3,2,2,2,3,3,3,2,2,2,3,2,3,2,0,0,2,3,2,2,2,2,2,2,2
10,2,0,2,0,0,5,2,2,2,2,2,3,3,2,2,2,3,3,2,2,1,0,2,0,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,1,2,3,2,2,2
11,2,0,3,0,0,5,2,2,2,2,2,3,3,2,2,2,3,3,3,2,0,0,3,0,0,3,2,2,2,2,3,2,2,2,2,3,2,3,2,0,0,2,3,2,2,2,3,2,2,2
12,2,0,2,0,0,5,3,2,2,2,2,3,3,2,2,2,3,3,2,2,1,0,2,0,0,5,3,2,2,2,2,3,2,2,2,3,3,2,2,2,0,2,5,2,0,2,3,3,2,2
13,2,0,2,0,0,4,2,2,2,2,2,4,2,2,2,2,3,3,4,2,1,0,2,0,0,5,2,2,2,2,4,2,2,2,2,3,3,4,2,2,2,3,3,2,2,2,2,2,2,2
14,1,0,2,0,0,5,3,2,2,2,2,3,3,2,2,2,3,3,3,2,1,0,2,0,0,5,2,2,2,2,3,3,2,2,2,3,3,2,2,0,0,2,5,2,2,2,2,2,2,2
15,2,2,2,0,0,4,2,2,2,2,2,3,3,2,2,2,3,3,3,2,1,2,2,0,2,3,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2
16,2,0,3,0,0,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,0,3,0,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2
17,2,2,3,0,0,2,2,3,2,2,2,2,3,3,2,0,3,2,2,2,2,1,3,0,0,3,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2
